









If you wanna be a Turtle                                    You gotta get with my friends...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    2021-05-29Splinter
Missing Bo Staff                                            Has anybody seen my stick?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          2021-06-01Donatello
Pizza money                                                 guys i need paying for saturdays pizzas..                                                                                                                                                                                                                                                                                                                                                                                                                                                                           2021-06-01Leonardo
Pizza Money                                                 Fuck you Leo!!!!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    2021-06-02Raph
Donnie's Stupid Stick                                       Right whos got Donnie's twig??                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      2021-06-03Raph
I loveee pizza                                              especially when Leo pays                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            2021-06-03Mikey
COWABUNGA!!                                                 Heros in a half shell                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               2021-06-04Mikey
Turtles Suck!                                               They really really suck..                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           2021-06-05Shredder
Shredder!!??                                                Guys whats do i tell you about giving out the details to this page!!? who let Shredder join?                                                                                                                                                                                                                                                                                                                                                                                                                        2021-06-05Donatello
Rocksteady                                                  Anyone seen him? Krang is pissed...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 2021-06-06Bebop
Turtles only                                                If you aint a hero in a half shell get offthis page!!                                                                                                                                                                                                                                                                                                                                                                                                                                                               2021-06-06Leo
Application Update                                          guys still waiting to hear back, thought interview went really well? any news?                                                                                                                                                                                                                                                                                                                                                                                                                                      2021-06-07Casey
Page Security                                               Ok guys Donnie's right, now we have to deal with Casey again, Splinter if he's in, i'm out                                                                                                                                                                                                                                                                                                                                                                                                                          2021-06-07Raph
Stil here                                                   Raph I can see what you write on here...                                                                                                                                                                                                                                                                                                                                                                                                                                                                            2021-06-07Casey
HOCKEY SUCKS                                                read that Casey you prick                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           2021-06-07Raph
Ha Ha Ha                                                    Earth is mine pesky turtles!!!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      2021-06-08Krang
WHO INVITED KRANG??                                         EARTH IS MINE KRANG, YOU DISGUSTING FOOL                                                                                                                                                                                                                                                                                                                                                                                                                                                                            2021-06-08Shredder
Do you want to save money on your energy bills?             Look after my bills can save you hundreds on annual energy bills...                                                                                                                                                                                                                                                                                                                                                                                                                                                 2021-06-08Splinter
Splinter's been hacked                                      either master splinter is moonlighting or he's been hacked?                                                                                                                                                                                                                                                                                                                                                                                                                                                         2021-06-08Mikey
Protect Earth?? you can't protect your internet security!   HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAH                                                                                                                                                                                                                                                                                                                                                                                                                                                               2021-06-08Krang
Missing Bo Staff Part 2                                     Guys just to let you know i've found my Bo Staff :)                                                                                                                                                                                                                                                                                                                                                                                                                                                                 2021-06-09Donatello
There the worlds most awesome fighting team                 Teenage Mutant Nija Turtles, Teenage Mutant Ninja Turtles, Heroes in a half shell, TURTLE POWER!!                                                                                                                                                                                                                                                                                                                                                                                                                   2021-06-09Mickey
Hey                                                         #sadfasd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            2021-06-09luke
